First Index,Second Index,Similarity,Total Neighbors a,Total Neighbors a_star,Matching Neighbor Pairs,total_b,total_b_star,b / a_neigh,b_star / a_star_neigh
5737,14785,0.8040799498558044,21,27,8,8,8,0.3809524,0.2962963
3875,10999,0.8020526170730591,7,4,1,1,1,0.1428571,0.25
3861,17251,0.7885962724685669,14,14,1,1,1,0.0714286,0.0714286
4926,11159,0.8451294898986816,5,14,0,0,0,0.0,0.0
4821,18196,0.8799816966056824,19,11,4,4,4,0.2105263,0.3636364
263,19209,0.8331927061080933,4,11,0,0,0,0.0,0.0
7631,17062,0.7536985874176025,6,4,1,1,1,0.1666667,0.25
4614,11338,0.8956170082092285,4,3,1,1,1,0.25,0.3333333
4213,18084,0.7634016275405884,6,4,1,1,1,0.1666667,0.25
7221,17694,0.7486231327056885,3,4,2,2,2,0.6666667,0.5
8671,13313,0.7102513313293457,39,129,18,18,18,0.4615385,0.1395349
6939,12117,0.8134099245071411,5,5,2,2,2,0.4,0.4
2119,11552,0.7970569729804993,26,28,3,3,3,0.1153846,0.1071429
5899,18238,0.788678765296936,17,14,3,3,3,0.1764706,0.2142857
4447,16162,0.7595391273498535,7,3,1,1,1,0.1428571,0.3333333
7540,12118,0.7778898477554321,3,10,0,0,0,0.0,0.0
9372,15058,0.6469101905822754,13,15,3,3,3,0.2307692,0.2
8776,16790,0.5462945699691772,35,48,7,7,7,0.2,0.1458333
8685,16114,0.8434365391731262,12,16,2,2,2,0.1666667,0.125
6080,13452,0.8570088148117065,64,350,58,58,58,0.90625,0.1657143
407,11214,0.8319228887557983,33,44,6,6,6,0.1818182,0.1363636
1618,15039,0.8118398189544678,73,66,17,17,17,0.2328767,0.2575758
9417,18485,0.8524437546730042,85,413,66,66,66,0.7764706,0.1598063
9057,17010,0.7206235527992249,3,3,1,1,1,0.3333333,0.3333333
3002,12147,0.7297676801681519,12,9,2,2,2,0.1666667,0.2222222
4839,16514,0.7754888534545898,18,7,2,2,2,0.1111111,0.2857143
5873,10843,0.7527700066566467,6,6,2,2,2,0.3333333,0.3333333
7928,17833,0.8556908369064331,22,35,10,10,10,0.4545455,0.2857143
2401,16589,0.8439483642578125,13,21,2,2,2,0.1538462,0.0952381
7296,14215,0.8975178599357605,16,13,1,1,1,0.0625,0.0769231
3305,16879,0.893905520439148,81,81,7,7,7,0.0864198,0.0864198
